tahun,tingkat_sekolah,jenis_sekolah, jumlah_sekolah , jumlah_guru , jumlah_murid , jumlah_kelas 
2011-2012,TK,Negeri,9,58,521,35
2011-2012,TK,Swasta,1781,8646,92775,5179
2012-2013,TK,Negeri,9,58,673,35
2012-2013,TK,Swasta,1432,10064,81050,4524
2013-2014,TK,Negeri,9,103,836,35
2013-2014,TK,Swasta,1421,10346,82874,4604
2014-2015,TK,Negeri,9,70,540,35
2014-2015,TK,Swasta,1990,10471,86265,5751
2015-2016,TK,Negeri,22,122,1184,79
2015-2016,TK,Swasta,2056,10391,88214,5949
2011-2012,SD,Negeri,2223,27145,653097,18142
2011-2012,SD,Swasta,775,10340,175184,7177
2012-2013,SD,Negeri,2222,29229,649508,18142
2012-2013,SD,Swasta,804,13824,195309,8001
2013-2014,SD,Negeri,2208,28269,640398,18142
2013-2014,SD,Swasta,839,13894,208064,8524
2014-2015,SD,Negeri,2111,27104,619839,17218
2014-2015,SD,Swasta,839,13820,201529,8524
2015-2016,SD,Negeri,1667,25663,593605,16489
2015-2016,SD,Swasta,911,14267,216676,8877
2011-2012,SMP,Negeri,288,13012,221756,4673
2011-2012,SMP,Swasta,650,11235,117699,4997
2012-2013,SMP,Negeri,289,11685,197700,4673
2012-2013,SMP,Swasta,716,12133,143294,6083
2013-2014,SMP,Negeri,289,11363,206032,4673
2013-2014,SMP,Swasta,698,11369,141666,6015
2014-2015,SMP,Negeri,289,11043,214795,4673
2014-2015,SMP,Swasta,751,12058,154049,6419
2015-2016,SMP,Negeri,289,10507,213814,4673
2015-2016,SMP,Swasta,800,12043,138681,6500
2011-2012,SMA,Negeri,117,6989,92734,2576
2011-2012,SMA,Swasta,382,9473,90532,2934
2012-2013,SMA,Negeri,117,6195,87550,2398
2012-2013,SMA,Swasta,350,7662,65486,2122
2013-2014,SMA,Negeri,117,6044,81491,2398
2013-2014,SMA,Swasta,358,7470,61475,2225
2014-2015,SMA,Negeri,117,5760,82948,2398
2014-2015,SMA,Swasta,357,7387,53631,1915
2015-2016,SMA,Negeri,117,5343,83207,2398
2015-2016,SMA,Swasta,375,7396,62610,2029
2011-2012,SMK,Negeri,63,3254,42348,1176
2011-2012,SMK,Swasta,517,12789,161217,4478
2012-2013,SMK,Negeri,63,3024,41337,1176
2012-2013,SMK,Swasta,522,12556,156237,4481
2013-2014,SMK,Negeri,63,3032,38535,1176
2013-2014,SMK,Swasta,530,12360,148276,4464
2014-2015,SMK,Negeri,63,3080,40597,1176
2014-2015,SMK,Swasta,536,12334,109932,4500
2015-2016,SMK,Negeri,63,3039,41610,1176
2015-2016,SMK,Swasta,546,12011,134016,4560
