X,Y,OBJECTID_1,OBJECTID,BLDG_ID,CITY,ZIPCODE,SCH_TYPE,POINT_X,POINT_Y
-71.00412057520259,42.38879868107347,1,1,1,5,13,2,790128.152748,2967094.37762
-71.03048029238414,42.378545298399885,2,2,3,5,13,2,783027.745829,2963317.53394
-71.03389058391973,42.37527867715065,3,3,4,5,13,2,782112.823908,2962122.0573299997
-71.03801071815423,42.37808861721215,4,4,6,5,13,2,780994.000003,2963139.99999
-71.03492143425565,42.3809574571799,5,5,7,5,13,3,781823.000004,2964189.99999
-71.04032982455949,42.378289993261454,6,6,8,5,13,5,780367.000002,2963209.99999
-71.03411994921963,42.36967602277351,7,7,10,5,13,1,782062.000004,2960079.99998
-71.0343075831713,42.36927367595972,8,8,11,5,13,5,782012.09674,2959933.10018
-71.03489031104762,42.36556300509928,9,9,12,5,13,2,781862.000004,2958580.00002
-71.05749224520838,42.37662851740173,10,10,13,3,14,2,775732.999998,2962579.99999
-71.06107059301948,42.38011867740617,11,11,14,3,14,3,774759.589533,2963846.89176
-71.06723124432145,42.37908035547464,12,12,15,3,14,6,773096.999996,2963459.99999
-71.06443059275855,42.37799867657933,13,13,16,3,14,5,773855.716508,2963069.66485
-71.0533696697075,42.36610274159122,14,14,17,1,1,5,776866.999999,2958750.00002
-71.06905024656571,42.348408293305276,15,15,21,1,3,4,772661.999995,2952280.00001
-71.06492059233261,42.34797867054077,16,16,22,1,0,4,773779.1247640001,2952129.10459
-71.07797059639059,42.35057867099926,17,17,24,1,3,3,770246.740985,2953058.86974
-71.07352059401761,42.344368669560005,18,18,26,1,3,7,771460.937914,2950801.8119799998
-71.07352059401761,42.344368669560005,19,19,26,1,3,7,771460.937914,2950801.8119799998
-71.07774059582496,42.338758668670366,20,20,27,1,4,5,770330.236569,2948751.74884
-71.07246106627973,42.340737551544926,21,21,28,1,4,2,771753.999994,2949480.00001
-71.07133140528097,42.32621703137502,22,22,31,10,5,2,772085.999995,2944190.0
-71.05819134420365,42.32317619487457,23,23,33,4,10,2,775644.999998,2943100.0
-71.05054058589411,42.33131866845259,24,24,35,11,12,2,777698.3368,2946078.06208
-71.04489058410691,42.332868668649844,25,25,36,11,12,3,779223.039425,2946651.00928
-71.03841128441215,42.334870707795595,26,27,37,11,12,2,780971.000003,2947390.0
-71.03019874375977,42.332120768615546,27,28,38,11,12,5,783197.000005,2946400.0
-71.0595494085743,42.320382411340674,28,29,39,4,10,2,775282.999998,2942080.0
-71.07790901897478,42.330275209898616,29,30,42,10,5,5,770299.9999930001,2945660.0
-71.17434062400517,42.282268654205886,30,32,131,12,17,3,744291.8934729999,2928051.28111
-71.05042965676314,42.33357372197066,31,34,34,11,12,6,777724.0,2946900.0
-71.08171059688863,42.32702866604833,32,35,44,10,5,7,769277.865976,2944471.83911
-71.08383997549593,42.34055977442439,33,36,45,10,4,7,768677.999992,2949400.00001
-71.09029059972147,42.33175866666857,34,37,47,10,6,3,766949.45791,2946184.2737
-71.08879259908205,42.332038667227394,35,38,48,10,6,0,767354.011766,2946288.25978
-71.09097059931555,42.3303986662493,36,39,49,10,5,6,766767.96863,2945687.78285
-71.09104059939536,42.32554866561233,37,40,50,10,5,2,766757.5150939999,2943920.26672
-71.08630956667422,42.32094834318213,38,41,51,10,5,5,768044.9999909999,2942250.0
-71.07893912909216,42.31496685447941,39,42,53,10,5,1,770048.9999930001,2940080.0
-71.0878410542977,42.31574003488177,40,43,54,4,7,5,767639.9999909999,2940350.0
-71.08450059643428,42.316158664034354,41,44,55,1,7,0,768542.714999,2940506.9388099997
-71.09289159544575,42.316334299557376,42,45,56,10,5,2,766272.999989,2940560.0
-71.07562660083664,42.3182026505098,43,46,57,4,10,2,770939.048026,2941263.6170900003
-71.07619659348022,42.31129966337307,44,47,58,4,7,5,770797.393082,2938747.2900799997
-71.07541082496643,42.30905402291017,45,48,59,4,7,6,771013.999994,2937930.0
-71.07385901865639,42.305618129084884,46,49,62,4,7,2,771439.999994,2936679.99999
-71.06101177191944,42.30839621193607,47,50,63,4,8,2,774909.999997,2937710.0
-71.0707294317282,42.29992614712457,48,52,67,4,9,5,772296.999995,2934609.99999
-71.062220644048,42.293966726809174,49,53,69,4,8,4,774609.999997,2932449.99999
-71.04919405841146,42.29420617703556,50,54,70,4,8,5,778133.906432,2932555.6167
-71.05319153733501,42.28655025040779,51,55,71,4,8,2,777066.999999,2929759.99999
-71.06956992683907,42.28126172746034,52,56,72,4,9,4,772644.999995,2927809.99999
-71.07743056603645,42.277860746256884,53,57,73,8,11,2,770523.9999930001,2926559.99999
-71.08091059414578,42.28141865759501,54,58,74,4,9,7,769575.860504,2927851.90514
-71.08091059414578,42.28141865759501,55,59,74,4,9,7,769575.860504,2927851.90514
-71.09042959600346,42.27676065695961,56,60,77,8,11,5,767008.1117659999,2926141.9524
-71.07679145494095,42.28779215450015,57,61,78,4,9,0,770678.9999930001,2930179.99999
-71.08037541924556,42.29243810494426,58,62,80,4,9,5,769700.9263060001,2931868.26054
-71.07300862696997,42.28660892640341,59,63,79,4,9,2,771704.710723,2929753.9164400003
-71.07560025929865,42.2967884987679,60,64,82,4,9,2,770984.999994,2933459.99999
-71.09500233426513,42.28231466008857,61,65,85,8,11,5,765760.999989,2928159.99999
-71.10408944316828,42.27581530982762,62,66,86,8,11,2,763312.999987,2925779.99998
