n_cluster,deterministic,det_iter,k,kmeans++,iter
5,6172807093499.236,28,1,6009280162268.438,8
5,6172807093499.236,28,2,5724491382108.886,51
5,6172807093499.236,28,3,5788610179951.839,23
5,6172807093499.236,28,4,5724491382108.886,29
5,6172807093499.236,28,5,5788500531030.617,11
5,6172807093499.236,28,6,5897444635159.925,15
5,6172807093499.236,28,7,5788610179951.839,17
5,6172807093499.236,28,8,5897521880044.449,16
5,6172807093499.236,28,9,5724491382108.886,55
5,6172807093499.236,28,10,5724521540724.16,15
10,3284644576095.6196,33,1,2632181321886.285,37
10,3284644576095.6196,33,2,2627738377599.2896,30
10,3284644576095.6196,33,3,2633371411501.038,25
10,3284644576095.6196,33,4,2634215209973.8584,52
10,3284644576095.6196,33,5,2946373779966.249,35
10,3284644576095.6196,33,6,2625299483019.7603,32
10,3284644576095.6196,33,7,2633371411501.038,67
10,3284644576095.6196,33,8,2634215209973.8584,55
10,3284644576095.6196,33,9,2777150623004.5757,29
10,3284644576095.6196,33,10,2725265032960.1953,24
20,1729920233673.3662,40,1,1274146019159.8506,42
20,1729920233673.3662,40,2,1248331048271.9922,22
20,1729920233673.3662,40,3,1312140961317.6387,27
20,1729920233673.3662,40,4,1244594628306.8562,33
20,1729920233673.3662,40,5,1291364994079.5706,22
20,1729920233673.3662,40,6,1332840594959.6294,63
20,1729920233673.3662,40,7,1323264383133.0513,20
20,1729920233673.3662,40,8,1207750282483.5105,47
20,1729920233673.3662,40,9,1254962557550.0083,21
20,1729920233673.3662,40,10,1292486874859.3567,38
5,1476493.473306975,6,1,1501594.4095631656,9
5,1476493.473306975,6,2,1501594.4095631656,10
5,1476493.473306975,6,3,1703871.3982412317,7
5,1476493.473306975,6,4,1501594.4095631656,5
5,1476493.473306975,6,5,1475549.4826214875,5
5,1476493.473306975,6,6,1476556.311767142,13
5,1476493.473306975,6,7,1476493.473306975,2
5,1476493.473306975,6,8,1476556.311767142,10
5,1476493.473306975,6,9,1581324.0519197315,3
5,1476493.473306975,6,10,1501594.4095631656,5
10,742308.9128289939,9,1,828488.3973257636,8
10,742308.9128289939,9,2,783880.8921509017,12
10,742308.9128289939,9,3,748912.1920930748,10
10,742308.9128289939,9,4,764948.6272023447,10
10,742308.9128289939,9,5,746222.2612522859,12
10,742308.9128289939,9,6,788384.6709491296,5
10,742308.9128289939,9,7,735387.4832239995,21
10,742308.9128289939,9,8,748114.3244422369,8
10,742308.9128289939,9,9,1042347.735097839,5
10,742308.9128289939,9,10,803352.6360575381,6
20,398266.37671251,15,1,425397.60021156695,8
20,398266.37671251,15,2,384756.6282069653,9
20,398266.37671251,15,3,479573.5959772996,14
20,398266.37671251,15,4,422733.62553002645,8
20,398266.37671251,15,5,456125.78582528303,7
20,398266.37671251,15,6,397901.04174001905,12
20,398266.37671251,15,7,390715.36850521475,7
20,398266.37671251,15,8,431787.4653199496,14
20,398266.37671251,15,9,399989.1516393779,11
20,398266.37671251,15,10,447313.2440122878,9
5,18501875.69033104,30,1,18501875.69033104,14
5,18501875.69033104,30,2,17700010.64598203,30
5,18501875.69033104,30,3,18502376.737278126,9
5,18501875.69033104,30,4,17700010.64598203,33
5,18501875.69033104,30,5,17700010.64598203,7
5,18501875.69033104,30,6,17705247.611495808,17
5,18501875.69033104,30,7,17700010.64598203,36
5,18501875.69033104,30,8,18501875.69033104,19
5,18501875.69033104,30,9,17700010.64598203,41
5,18501875.69033104,30,10,17700010.64598203,30
10,6789441.096042063,39,1,6283644.2279325705,16
10,6789441.096042063,39,2,6653550.711661773,59
10,6789441.096042063,39,3,5985526.6115502035,25
10,6789441.096042063,39,4,5763743.398238955,22
10,6789441.096042063,39,5,5776930.984487458,17
10,6789441.096042063,39,6,6419626.994433855,19
10,6789441.096042063,39,7,5994573.329251929,21
10,6789441.096042063,39,8,6285949.325190587,10
10,6789441.096042063,39,9,5754809.900144989,12
10,6789441.096042063,39,10,6389065.9526463635,41
20,2794526.9027168667,37,1,2627087.6499239746,15
20,2794526.9027168667,37,2,2797152.7806921736,34
20,2794526.9027168667,37,3,2669789.6210560687,25
20,2794526.9027168667,37,4,2882564.7882682537,23
20,2794526.9027168667,37,5,2650969.7978964164,14
20,2794526.9027168667,37,6,2726603.634247635,11
20,2794526.9027168667,37,7,2891964.8173824097,9
20,2794526.9027168667,37,8,2600024.5241572834,13
20,2794526.9027168667,37,9,2492842.95413545,26
20,2794526.9027168667,37,10,2558376.4705708874,26
5,60.570992002697885,13,1,60.57099200269789,9
5,60.570992002697885,13,2,51.220953703703714,3
5,60.570992002697885,13,3,59.149104545454584,5
5,60.570992002697885,13,4,50.33009126984126,6
5,60.570992002697885,13,5,59.27106666666669,9
5,60.570992002697885,13,6,50.35762078227298,6
5,60.570992002697885,13,7,50.33009126984126,6
5,60.570992002697885,13,8,50.33009126984126,3
5,60.570992002697885,13,9,62.94235909822864,2
5,60.570992002697885,13,10,63.371731707317096,6
10,28.662350362056255,5,1,29.10495726495727,6
10,28.662350362056255,5,2,38.140839151017616,3
10,28.662350362056255,5,3,28.30897536578602,8
10,28.662350362056255,5,4,28.447666722024785,6
10,28.662350362056255,5,5,28.213979783217642,4
10,28.662350362056255,5,6,31.235746817912162,4
10,28.662350362056255,5,7,27.5417421964001,3
10,28.662350362056255,5,8,33.85898245614035,5
10,28.662350362056255,5,9,30.67181717302307,7
